=== BAT DAU DONG BO CHI TIET DS DON VAY ===
JobId: sync_loan_details_20260624_161620
Input file: output/loans/list_loan_all.txt
Master file: output/loans/list_loan_detail_all.txt
Existing detail count before run: 0
Invalid master lines: 0
Total input: 66484
Already processed: 0
Need sync: 66484
Skipped missing/invalid: 0
API method: GET
API endpoint: /digital-sale-admin/api/v1/admin/loans/detail
Concurrency: 1
Delay: 500ms
Timeout: 15000ms
Max retries: 0
[3250/66484] success: 3250 | failed: 0 | skipped: 0 | speed: 1.63 req/s
[3300/66484] success: 3300 | failed: 0 | skipped: 0 | speed: 1.62 req/s
[3350/66484] success: 3350 | failed: 0 | skipped: 0 | speed: 1.62 req/s
[3400/66484] success: 3400 | failed: 0 | skipped: 0 | speed: 1.62 req/s
[3450/66484] success: 3450 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3500/66484] success: 3500 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3550/66484] success: 3550 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3600/66484] success: 3600 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3650/66484] success: 3650 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3700/66484] success: 3700 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3750/66484] success: 3750 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3800/66484] success: 3800 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3850/66484] success: 3850 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3900/66484] success: 3900 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[3950/66484] success: 3950 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4000/66484] success: 4000 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4050/66484] success: 4050 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4100/66484] success: 4100 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4150/66484] success: 4150 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4200/66484] success: 4200 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4250/66484] success: 4250 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4300/66484] success: 4300 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4350/66484] success: 4350 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4400/66484] success: 4400 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4450/66484] success: 4450 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4500/66484] success: 4500 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4550/66484] success: 4550 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4600/66484] success: 4600 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4650/66484] success: 4650 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4700/66484] success: 4700 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4750/66484] success: 4750 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4800/66484] success: 4800 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4850/66484] success: 4850 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4900/66484] success: 4900 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[4950/66484] success: 4950 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5000/66484] success: 5000 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5050/66484] success: 5050 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5100/66484] success: 5100 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5150/66484] success: 5150 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5200/66484] success: 5200 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5250/66484] success: 5250 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5300/66484] success: 5300 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5350/66484] success: 5350 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5400/66484] success: 5400 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5450/66484] success: 5450 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5500/66484] success: 5500 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5550/66484] success: 5550 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5600/66484] success: 5600 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5650/66484] success: 5650 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5700/66484] success: 5700 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5750/66484] success: 5750 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5800/66484] success: 5800 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5850/66484] success: 5850 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5900/66484] success: 5900 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[5950/66484] success: 5950 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6000/66484] success: 6000 | failed: 0 | skipped: 0 | speed: 1.59 req/s
[6050/66484] success: 6050 | failed: 0 | skipped: 0 | speed: 1.59 req/s
